Azure name;Name
Az-GPT-3.5-turbo Tokens;gpt3-ruf-mortas-llama2-70b-token
Free Text Records;
Image-Dall-E-3 Std LowRes-regnl EP Images;
embedding-ada-regional Tokens;
gpt 4o 0513 Input global Tokens;gpt4o-ruf-mortas-token
gpt 4o 0513 Input regional Tokens;gpt4o-ruf-mortas-token
gpt 4o 0513 Output global Tokens;gpt4o-ruf-mortas-token
gpt 4o 0513 Output regional Tokens;gpt4o-ruf-mortas-token
gpt-35-turbo-16k-Input-regional Tokens;gpt3-ruf-mortas-llama2-70b-token
gpt-35-turbo-16k-Output-regional Tokens;gpt3-ruf-mortas-llama2-70b-token
gpt-35-turbo-4k-Input-regional Tokens;gpt3-ruf-mortas-llama2-70b-token
gpt-35-turbo-4k-Output-regional Tokens;gpt3-ruf-mortas-llama2-70b-token
gpt-4-32K-Input-regional Tokens;gpt4-ruf-mortas-llama2-70b-token
gpt-4-32K-Output-regional Tokens;gpt4-ruf-mortas-llama2-70b-token
gpt-4-8K-Input-regional Tokens;gpt4-ruf-mortas-llama2-70b-token
gpt-4-8K-Output-regional Tokens;gpt4-ruf-mortas-llama2-70b-token
gpt-4-turbo128K Inp-glbl Tokens;gpt4-ruf-mortas-llama2-70b-token
gpt-4-turbo128K Outp-glbl Tokens;gpt4-ruf-mortas-llama2-70b-token
gpt-4o-0806-Inp-glbl Tokens;gpt4o-ruf-mortas-token
gpt-4o-0806-Outp-glbl Tokens;gpt4o-ruf-mortas-token
gpt-4o-mini-0718-Inp-glbl Tokens;gpt4o-mini-ruf-mortas-token
gpt-4o-mini-0718-Inp-regnl Tokens;gpt4o-mini-ruf-mortas-token
gpt-4o-mini-0718-Outp-glbl Tokens;gpt4o-mini-ruf-mortas-token
gpt-4o-mini-0718-Outp-regnl Tokens;gpt4o-mini-ruf-mortas-token
text-embedding-3-large-regional Tokens;
text-embedding-3-small-regional Tokens;
gpt 4o 0806 cached Inp glbl Tokens;gpt4o-ruf-mortas-token
gpt 4o mini 0718 cached Inp glbl Tokens;gpt4o-mini-ruf-mortas-token
gpt 4o 1120 Inp glbl Tokens;gpt4o-ruf-mortas-token
gpt 4o 1120 Outp glbl Tokens;gpt4o-ruf-mortas-token
gpt 4o 1120 cached Inp glbl Tokens;gpt4o-ruf-mortas-token
gpt 4o mini 0718 cached Inp regnl Tokens;gpt4o-mini-ruf-mortas-token
gpt-4o-0806-Inp-regnl Tokens;gpt4o-ruf-mortas-token
gpt-4o-0806-Outp-regnl Tokens;gpt4o-ruf-mortas-token
o1 mini cached input glbl Tokens;o1mini-ecologits-token
o1 mini input glbl Tokens;o1mini-ecologits-token
o1 mini output glbl Tokens;o1mini-ecologits-token
o1 preview cached input glbl Tokens;o1-ecologits-token
o1 preview input glbl Tokens;o1-ecologits-token
o1 preview output glbl Tokens;o1-ecologits-token
Standard Text Records;
gpt-35-turbo-16K-0125 Input-regional Tokens;gpt3-ruf-mortas-llama2-70b-token
gpt-35-turbo-16K-0125 Output-regional Tokens;gpt3-ruf-mortas-llama2-70b-token
o3 mini 0131 input glbl Tokens;
o3 mini 0131 output glbl Tokens;
o3 mini 0131 cached input glbl Tokens;
gpt 4.1 Inp glbl Tokens;gpt41-ecologits-token
gpt 4.1 Outp glbl Tokens;gpt41-ecologits-token
gpt 4.1 cached Inp glbl Tokens;gpt41-ecologits-token
gpt 4.1 nano Inp glbl Tokens;gpt41nano-ecologits-token
gpt 4.1 nano Outp glbl Tokens;gpt41nano-ecologits-token
gpt 4o 0806 cached Inp regnl Tokens;gpt4o-ruf-mortas-token
gpt 4.1 mini Inp glbl Tokens;gpt41mini-ecologits-token
gpt 4.1 mini Outp glbl Tokens;gpt41mini-ecologits-token
o4-mini 0416 Inp glbl Tokens;
o4-mini 0416 Outp glbl Tokens;