surname,ppm
王,68479.6770814705
李,63038.09110185729
张,62799.64914969896
刘,45525.38129422886
陈,35080.77221129363
杨,26347.83571349497
赵,19288.2507728074
周,16311.984262831158
吴,16077.80020267566
黄,15698.847814424034
孙,13463.454512939734
徐,13395.328240894498
朱,12032.802799989782
马,10815.045687181191
郭,10798.014119169882
胡,10597.893195037
高,9444.00446227082
林,8149.605293411338
何,8136.831617402857
郑,7762.137121154059
宋,6544.380008345468
罗,6310.19594818997
韩,5837.569935876147
许,5688.543715777193
梁,5594.8700917149945
唐,5556.549063689548
谢,5522.485927666931
冯,5305.333435522742
曹,5198.88613545206
彭,4756.065367158028
田,4709.228555126928
董,4696.454879118445
程,4662.391743095828
于,4598.523363053419
魏,4564.460227030801
袁,4504.849738991221
肖,4479.3023869742565
邓,4398.402438920539
丁,4385.628762912057
杜,4381.37087090923
蔡,4176.992054773523
任,4164.218378765041
蒋,4027.9658346745696
吕,3913.0027505982334
潘,3840.618586550171
曾,3793.781774519072
汪,3725.655502473835
叶,3717.139718468181
崔,3670.302906437081
余,3623.4660944059815
姜,3606.434526394673
范,3555.339822360745
姚,3402.055710258965
苏,3342.445222219384
贾,3333.929438213729
沈,3308.3820861967656
金,3214.7084621345666
卢,3206.192678128912
夏,2950.7191579592777
石,2891.108669919696
孟,2886.850777916869
方,2861.303425899905
侯,2844.2718578885965
钟,2793.177153854669
付,2776.1455858433605
闫,2754.8561258292248
秦,2742.0824498207426
谭,2618.603581738753
白,2516.414173670899
薛,2503.6404976624176
熊,2478.0931456454537
尹,2422.7405496087
邹,2422.7405496087
陆,2409.966873600218
江,2388.677413586082
廖,2324.809033543673
郝,2316.2932495380187
段,2303.5195735295374
邱,2248.1669774927827
史,2205.5880574645107
武,2116.1723254051385
雷,1996.951349325976
贺,1911.7935092694308
戴,1881.98826524964
钱,1864.9566972383311
邵,1809.604101201577
毛,1779.7988571817864
顾,1775.5409651789594
陶,1762.7672891704774
常,1754.2515051648231
孔,1749.993613161996
万,1690.3831251224144
牛,1630.772637082833
龚,1575.420041046079
严,1549.8726890291157
葛,1490.262200989534
汤,1477.4885249810525
康,1460.4569569697435
樊,1379.557008916026
安,1362.5254409047168
龙,1349.7517648962353
洪,1328.462304882099
邢,1311.43073687079
温,1311.43073687079
齐,1307.1728448679628
韦,1307.1728448679628
乔,1290.1412768566538
黎,1239.0465728227268
向,1234.7886808198998
施,1234.7886808198998
文,1234.7886808198998
章,1230.5307888170726
岳,1158.1466247690091
易,1132.599272752046
申,1128.3413807492188
代,1111.3098127379096
聂,1111.3098127379096
鲁,1111.3098127379096
焦,1107.0519207350826
倪,1060.2151087039829
庞,1043.183540692674
傅,1034.6677566870194
翟,1021.8940806785376
耿,1009.120404670056
殷,1004.8625126672288
颜,996.3467286615742
柳,945.2520246276472
赖,923.9625646135112
左,915.4467806078568
伍,902.6731045993748
霍,894.1573205937204
庄,885.6415365880661
尚,843.0626165597936
俞,843.0626165597936
莫,838.8047245569663
成,821.7731565456573
曲,817.5152645428301
毕,796.2258045286939
梅,774.9363445145577
裴,774.9363445145577
关,757.9047765032487
包,753.6468845004215
欧阳,745.131100494767
宁,740.8732084919399
季,740.8732084919399
盛,740.8732084919399
谷,736.6153164891126
苗,736.6153164891126
童,728.0995324834581
祝,719.5837484778036
覃,706.8100724693219
单,702.5521804664946
纪,689.778504458013
詹,681.2627204523584
辛,672.7469364467039
柴,668.4890444438768
舒,664.2311524410495
涂,655.715368435395
喻,655.715368435395
柯,655.715368435395
兰,647.1995844297405
华,647.1995844297405
路,647.1995844297405
靳,642.9416924269133
阮,634.4259084212588
管,625.9101244156044
甘,625.9101244156044
游,613.1364484071227
骆,608.8785564042953
凌,600.3627723986409
祁,596.1048803958137
欧,591.8469883929864
解,562.0417443731957
房,553.5259603675413
滕,549.2680683647139
鲍,545.0101763618868
司,523.7207163477506
冉,519.4628243449233
屈,510.9470403392688
时,506.6891483364416
翁,506.6891483364416
艾,502.4312563336144
窦,498.1733643307871
牟,451.3365522996874
穆,434.3049842883785
连,421.5313082798968
阳,417.2734162770696
卫,400.2418482657606
符,391.7260642601061
项,378.9523882516244
饶,378.9523882516244
褚,374.6944962487972
党,374.6944962487972
商,374.6944962487972
桂,370.43660424596993
戚,370.43660424596993
蓝,370.43660424596993
缪,366.1787122431426
原,361.9208202403154
娄,357.6629282374882
臧,353.40503623466094
卜,353.40503623466094
费,349.1471442318337
宫,349.1471442318337
卞,349.1471442318337
景,344.8892522290065
尤,344.8892522290065
蒲,344.8892522290065
卓,340.6313602261792
宗,340.6313602261792
吉,340.6313602261792
边,332.1155762205248
古,332.1155762205248
师,332.1155762205248
车,327.8576842176975
柏,315.08400820921577
帅,310.8261162063885
冷,310.8261162063885
席,306.56822420356133
蒙,302.3103322007341
燕,302.3103322007341
巩,293.7945481950795
晏,293.7945481950795
姬,293.7945481950795
栾,293.7945481950795
强,289.53665619225234
南,289.53665619225234
隋,281.02087218659784
郎,276.76298018377065
桑,276.76298018377065
沙,276.76298018377065
冀,272.5050881809434
仇,272.5050881809434
全,268.2471961781161
邬,268.2471961781161
刁,268.2471961781161
荣,268.2471961781161
惠,268.2471961781161
寇,263.9893041752889
仲,263.9893041752889
瞿,263.9893041752889
丛,263.9893041752889
应,259.73141217246166
米,259.73141217246166
敏,259.73141217246166
查,255.4735201696344
楼,255.4735201696344
荆,255.4735201696344
虞,255.4735201696344
佟,251.2156281668072
佘,251.2156281668072
苑,238.44195215832545
池,238.44195215832545
官,234.18406015549823
匡,234.18406015549823
静,234.18406015549823
封,234.18406015549823
鞠,234.18406015549823
甄,229.92616815267093
迟,225.6682761498437
麻,221.4103841470165
楚,212.894600141362
云,212.894600141362
栗,212.894600141362
简,208.6367081385348
占,208.6367081385348
储,208.6367081385348
平,204.37881613570752
阎,204.37881613570752
小,200.1209241328803
狄,200.1209241328803
乐,200.1209241328803
芦,195.86303213005303
和,195.86303213005303
闵,195.86303213005303
盖,195.86303213005303
厉,191.6051401272258
仝,187.3472481243986
胥,187.3472481243986
苟,187.3472481243986
敖,187.3472481243986
伊,183.0893561215713
谈,178.8314641187441
奚,178.8314641187441
巫,178.8314641187441
亓,174.57357211591685
麦,170.3156801130896
闻,166.05778811026238
洋,166.05778811026238
郜,157.54200410460788
蔺,153.28411210178066
郁,153.28411210178066
鹿,153.28411210178066
丰,149.02622009895342
国,149.02622009895342
禹,149.02622009895342
朴,149.02622009895342
屠,144.76832809612617
岑,144.76832809612617
旭,144.76832809612617
颖,144.76832809612617
谌,144.76832809612617
鄢,140.51043609329892
阚,140.51043609329892
祖,140.51043609329892
星,136.2525440904717
芮,136.2525440904717
卿,131.99465208764445
廉,131.99465208764445
相,131.99465208764445
智,131.99465208764445
邸,127.7367600848172
丘,127.7367600848172
索,123.47886808198996
宣,123.47886808198996
雍,123.47886808198996
公,119.22097607916272
邝,119.22097607916272
门,119.22097607916272
来,119.22097607916272
慕,114.96308407633548
东,114.96308407633548
支,114.96308407633548
丹,114.96308407633548
佳,114.96308407633548
倩,114.96308407633548
晶,114.96308407633548
都,110.70519207350826
晁,110.70519207350826
於,106.447300070681
巴,106.447300070681
修,106.447300070681
伏,106.447300070681
班,106.447300070681
阿,106.447300070681
嵇,106.447300070681
波,102.18940806785376
宿,102.18940806785376
逯,102.18940806785376
丽,102.18940806785376
莹,97.93151606502651
候,97.93151606502651
茹,97.93151606502651
农,97.93151606502651
计,97.93151606502651
裘,97.93151606502651
敬,97.93151606502651
雒,97.93151606502651
井,93.6736240621993
练,93.6736240621993
薄,93.6736240621993
尉,93.6736240621993
越,89.41573205937205
阙,89.41573205937205
漆,89.41573205937205
杭,89.41573205937205
戎,89.41573205937205
劳,89.41573205937205
山口,85.1578400565448
檀,85.1578400565448
茅,85.1578400565448
束,85.1578400565448
粟,85.1578400565448
刀,84.683
亢,80.89994805371757
欣,80.89994805371757
郗,80.89994805371757
岩,80.89994805371757
上官,80.89994805371757
虎,80.89994805371757
瑶,80.89994805371757
呼,76.64205605089033
迪,76.64205605089033
青,76.64205605089033
睿,76.64205605089033
羊,76.64205605089033
操,76.64205605089033
琪,76.64205605089033
爽,76.64205605089033
鲜,76.64205605089033
邰,76.64205605089033
聪,72.38416404806308
阴,72.38416404806308
习,72.38416404806308
辜,72.38416404806308
元,72.38416404806308
月,72.38416404806308
欢,72.38416404806308
昌,72.38416404806308
萧,72.38416404806308
航,72.38416404806308
居,72.38416404806308
莉,72.38416404806308
戈,72.38416404806308
可,72.38416404806308
坤,72.38416404806308
银,68.12627204523585
宾,68.12627204523585
那,68.12627204523585
浦,68.12627204523585
盘,68.12627204523585
皮,68.12627204523585
湛,68.12627204523585
巨,68.12627204523585
皇甫,68.12627204523585
綦,63.8683800424086
咸,63.8683800424086
寿,63.8683800424086
干,63.8683800424086
新,63.8683800424086
利,63.8683800424086
冼,63.8683800424086
印,63.8683800424086
钮,60.452
危,59.61048803958136
天,59.61048803958136
昝,59.61048803958136
母,59.61048803958136
衣,59.61048803958136
贝,59.61048803958136
梦,59.61048803958136
水,59.61048803958136
但,59.61048803958136
户,59.61048803958136
弓,59.61048803958136
浩然,59.61048803958136
冶,58.252
毋,55.35259603675413
竺,55.35259603675413
女,55.35259603675413
玄,55.35259603675413
俊杰,55.35259603675413
揭,55.35259603675413
怡,55.35259603675413
由,55.35259603675413
逄,55.35259603675413
容,55.35259603675413
化,55.35259603675413
军,55.35259603675413
区,55.35259603675413
进,55.35259603675413
渠,55.35259603675413
薇,55.35259603675413
政,55.35259603675413
轩,55.35259603675413
帆,55.35259603675413
力,51.09470403392688
保,51.09470403392688
蹇,51.09470403392688
从,51.09470403392688
硕,51.09470403392688
晴,51.09470403392688
贠,51.09470403392688
庆,51.09470403392688
延,51.09470403392688
暴,51.09470403392688
种,51.09470403392688
宛,51.09470403392688
旷,51.09470403392688
萍,51.09470403392688
恒,51.09470403392688
刚,51.09470403392688
訾,47.661
濮,46.83681203109965
彬,46.83681203109965
子,46.83681203109965
凤,46.83681203109965
宝,46.83681203109965
珂,46.83681203109965
茆,46.83681203109965
冒,46.83681203109965
娇,46.83681203109965
奉,46.83681203109965
富,46.83681203109965
锐,46.83681203109965
才,46.83681203109965
幸,46.83681203109965
展,46.83681203109965
晗,46.83681203109965
昕,46.83681203109965
乌,45.19
晓,42.5789200282724
崇,42.5789200282724
双,42.5789200282724
淼,42.5789200282724
同,42.5789200282724
彤,42.5789200282724
开,42.5789200282724
君,42.5789200282724
尧,42.5789200282724
维,42.5789200282724
琴,42.5789200282724
茜,42.5789200282724
买,39.011
斯,38.321028025445166
庹,38.321028025445166
郇,38.321028025445166
宇轩,38.321028025445166
鄂,38.321028025445166
曦,38.321028025445166
果,38.321028025445166
司马,38.321028025445166
春,38.321028025445166
钊,38.321028025445166
正,38.321028025445166
颉,38.321028025445166
琚,38.321028025445166
蓉,38.321028025445166
贲,38.321028025445166
菅,38.321028025445166
历,38.321028025445166
中山,38.321028025445166
婕,38.321028025445166
郄,38.321028025445166
荀,38.321028025445166
大,38.321028025445166
嘉,34.063136022617925
诸葛,34.063136022617925
沃,34.063136022617925
然,34.063136022617925
彪,34.063136022617925
宏,34.063136022617925
岚,34.063136022617925
隆,34.063136022617925
郦,34.063136022617925
野村,34.063136022617925
亚,34.063136022617925
多,34.063136022617925
圆,34.063136022617925
玮,34.063136022617925
扈,34.063136022617925
骏,34.063136022617925
庾,33.488
蒯,31.333
糜,29.80524401979068
后,29.80524401979068
戢,29.80524401979068
邴,29.80524401979068
隗,29.80524401979068
秋,29.80524401979068
沐,29.80524401979068
矫,29.80524401979068
仵,29.80524401979068
竹,29.80524401979068
籍,29.80524401979068
缑,29.80524401979068
加,29.80524401979068
郏,29.80524401979068
先,29.799
司徒,28.471
眭,26.512
续,25.54735201696344
侍,25.54735201696344
谯,25.54735201696344
汝,25.54735201696344
法,25.54735201696344
淦,25.54735201696344
久保,25.54735201696344
令狐,25.54735201696344
巢,25.54735201696344
洛,24.298
鱼,24.235
汲,23.669
宦,21.379
仉,20.357
弋,17.032
郅,15.109
义,14.391
禚,13.094
苌,11.365
宇文,7.968
长,6.664
呼延,4.339
乐正,1.551
鲜于,1.031
公玉,0.965
南荣,0.901
赫连,0.882
东方,0.797
仲长,0.626
慕容,0.358
福,0.316
宗政,0.31
归,0.277
皋,0.272
濮阳,0.257
乾,0.249
恽,0.245
宓,0.22
淳,0.217
笪,0.209
夏侯,0.181
杞,0.169
刑,0.155
段干,0.124
虢,0.12
闻人,0.12
斗,0.118
汉,0.108
贯,0.107
撒,0.1
